URIs,Name label
http://www.wikidata.org/entity/Q1039964,"Cronstedt, Carl Olof (1756 - 1820)"
http://www.wikidata.org/entity/Q5398031,"Kekkonen, Taneli (1928 - 1985)"
http://www.wikidata.org/entity/Q4357310,"Mikkola, Marja-Leena (1939 - )"
http://www.wikidata.org/entity/Q18819813,"Soine, Valentin (1902 - 1996)"
http://www.wikidata.org/entity/Q23698826,"Sinebrychoff, Anna (1830 - 1904)"
http://www.wikidata.org/entity/Q11858669,"Hakkila, Esko (1893 - 1953)"
http://www.wikidata.org/entity/Q11892996,"Mustonen, Seppo (1937 - )"
http://www.wikidata.org/entity/Q4973998,"Ramsay, Jully (1865 - 1919)"
http://www.wikidata.org/entity/Q17382780,"Nordenberg, Magnus Otto (1705 - 1756)"
http://www.wikidata.org/entity/Q61873,Dorotea Brandenburgilainen (1430 - 1495)
http://www.wikidata.org/entity/Q105705757,"Korpi, Lydia (1888 - 1961)"
http://www.wikidata.org/entity/Q11873917,"Salmenhaara, Kyllikki (1915 - 1981)"
http://www.wikidata.org/entity/Q2655547,"Taimi, Adolf (1881 - 1955)"
http://www.wikidata.org/entity/Q11854809,"Frietsch, Carl Olof (1901 - 1973)"
http://www.wikidata.org/entity/Q459710,"Parland, Oscar (1912 - 1997)"
http://www.wikidata.org/entity/Q4957891,"Kallio, Elin (1859 - 1927)"
http://www.wikidata.org/entity/Q5897778,"Kalima, Jalo (1884 - 1952)"
http://www.wikidata.org/entity/Q17383905,"Solntsev, Sergei (1867 - 1933)"
http://www.wikidata.org/entity/Q2183430,Benedikta Ebbentytär (noin 1165 - 1200)
http://www.wikidata.org/entity/Q553742,"Loiri, Vesa-Matti (1945 - )"
http://www.wikidata.org/entity/Q366062,"Laaksonen, Touko (1920 - 1991)"
http://www.wikidata.org/entity/Q261278,"Takalo, Helena (1947 - )"
http://www.wikidata.org/entity/Q4383502,"Pihkala, Lauri (1888 - 1981)"
http://www.wikidata.org/entity/Q18632735,"Ille, Magnus (noin 1500 - 1565)"
http://www.wikidata.org/entity/Q11892295,"Bergh, Samuel Gustaf (1803 - 1852)"
http://www.wikidata.org/entity/Q13217184,"Rekola, Aarne (1893 - 1965)"
http://www.wikidata.org/entity/Q11900772,"Puskala, Veikko (1911 - 1989)"
http://www.wikidata.org/entity/Q17382313,"Luomi, Tauno (1911 - 1993)"
http://www.wikidata.org/entity/Q11866712,"Salmenius, Johannes (1644 - 1683)"
http://www.wikidata.org/entity/Q11864378,"Yrjö-Koskinen, Iida (1857 - 1937)"
http://www.wikidata.org/entity/Q571572,"Berg, Fredrik Wilhelm Rembert (1794 - 1874)"
http://www.wikidata.org/entity/Q36006891,"Heinonen, Lyyli (1889 - 1950)"
http://www.wikidata.org/entity/Q6096577,"Schauman, Runar (1908 - 1977)"
http://www.wikidata.org/entity/Q18331084,"Kauppi, Kalle (1892 - 1961)"
