 wikidataURI,"label"
 http://www.wikidata.org/entity/Q12806081,"Antončič, Vojko"
 http://www.wikidata.org/entity/Q4067213,"Antosiewicz, Edvard"
 http://www.wikidata.org/entity/Q61278514,"Anžič, Anton"
 http://www.wikidata.org/entity/Q12791723,"Anžlovar, Ivo"
 http://www.wikidata.org/entity/Q12795631,"Apih - Pečar, Mara"
 http://www.wikidata.org/entity/Q3723002,"Apih, Elio"
 http://www.wikidata.org/entity/Q18604183,"Apih, Josip"
 http://www.wikidata.org/entity/Q21548290,"Apih, Jure"
 http://www.wikidata.org/entity/Q6850494,"Apih, Milan"
 http://www.wikidata.org/entity/Q61278480,"Apollonio, B."
 http://www.wikidata.org/entity/Q2282246,"Apollonio, Zvest"
 http://www.wikidata.org/entity/Q18529609,"Apostel, Ivan Anton"
 http://www.wikidata.org/entity/Q20128407,"Apovnik, Pavel"
 http://www.wikidata.org/entity/Q345336,"Areh, Valentin"
 http://www.wikidata.org/entity/Q59905145,"Arh, Ivan"
 http://www.wikidata.org/entity/Q61278439,"Arh, Mihael"
 http://www.wikidata.org/entity/Q12016829,"Arhar, France"
 http://www.wikidata.org/entity/Q12793180,"Arhar, Justin"
 http://www.wikidata.org/entity/Q12806021,"Arhar, Vojan Tihomir"
 http://www.wikidata.org/entity/Q17402264,"Arigler, Adolf"
 http://www.wikidata.org/entity/Q59815076,"Arih, Lilijana"
 http://www.wikidata.org/entity/Q12796483,"Arih, Miha"
 http://www.wikidata.org/entity/Q18487962,"Arko, Albin"
 http://www.wikidata.org/entity/Q61278434,"Arko, Alenka"
 http://www.wikidata.org/entity/Q17402265,"Arko, Andrej"
 http://www.wikidata.org/entity/Q18529334,"Arko, Fran"
 http://www.wikidata.org/entity/Q12792387,"Arko, Jernej"
 http://www.wikidata.org/entity/Q12796504,"Arko, Mihael"
 http://www.wikidata.org/entity/Q18645236,"Arko, Stanko"
 http://www.wikidata.org/entity/Q12644806,"Arko, Vladimir"
 http://www.wikidata.org/entity/Q12806079,"Arko, Vojko"
 http://www.wikidata.org/entity/Q12791974,"Arlič, Janez"
 http://www.wikidata.org/entity/Q18604184,"Armič, Josip"
 http://www.wikidata.org/entity/Q12791307,"Arnautović, Ilija"
 http://www.wikidata.org/entity/Q18529840,"Arnejc, Ivan"
 http://www.wikidata.org/entity/Q61200676,"Arnejc, Janko"
 http://www.wikidata.org/entity/Q61200521,"Arnež, Janez A."
 http://www.wikidata.org/entity/Q17402271,"Arnič Lemež, Blaženka"
 http://www.wikidata.org/entity/Q3640894,"Arnič, Blaž"
 http://www.wikidata.org/entity/Q12795195,"Arnič, Lovrenc Blaž"
 http://www.wikidata.org/entity/Q17402272,"Arnol, Andy"
 http://www.wikidata.org/entity/Q17402274,"Arnold, Stanko"
 http://www.wikidata.org/entity/Q154936,"Arnulf Koroški"
 http://www.wikidata.org/entity/Q21548175,"Arrer, Ignacij"
 http://www.wikidata.org/entity/Q48435642,"Arrigler, Dragan"
 http://www.wikidata.org/entity/Q194038,"Arsovski, Tome"
 http://www.wikidata.org/entity/Q12791502,"Artač, Ivan"
 http://www.wikidata.org/entity/Q21548209,"Artenjak, Janez"
 http://www.wikidata.org/entity/Q12785123,"Arčon, Arnold"
 http://www.wikidata.org/entity/Q12787353,"Arčon, David"
 http://www.wikidata.org/entity/Q17402278,"Arčon, Evgen"
 http://www.wikidata.org/entity/Q778613,"Asbóth, Oszkar"
 http://www.wikidata.org/entity/Q472212,"Ascoli, Graziadio Isaia"
 http://www.wikidata.org/entity/Q61200190,"Asquini, Girolamo"
 http://www.wikidata.org/entity/Q61199973,"Atanasijević - Kunc, Maja"
 http://www.wikidata.org/entity/Q15634707,"Atelšek, Ivan"
 http://www.wikidata.org/entity/Q47742943,"Attems, Ernest Amadej Tomaž"
 http://www.wikidata.org/entity/Q3813058,"Attems, Karel Mihael"
 http://www.wikidata.org/entity/Q59905082,"Atzl, Jožef"
 http://www.wikidata.org/entity/Q18508507,"Auersperg Attems, Marija Rozalija"
 http://www.wikidata.org/entity/Q93975,"Auersperg, Andrej"
 http://www.wikidata.org/entity/Q112469,"Auersperg, Herbard"
 http://www.wikidata.org/entity/Q12795726,"Auersperg, Marija"
 http://www.wikidata.org/entity/Q79069,"Auersperg, Marija Anton Aleksander"
 http://www.wikidata.org/entity/Q12806101,"Auersperg, Wolf Engelbert"
 http://www.wikidata.org/entity/Q61199661,"Auersperger, Alenka"
 http://www.wikidata.org/entity/Q61199479,"Autor, Oskar"
 http://www.wikidata.org/entity/Q61199330,"Auwercx, Peter"
 http://www.wikidata.org/entity/Q12760675,"Avbelj, Franc"
 http://www.wikidata.org/entity/Q12791438,"Avbelj, Irena"
 http://www.wikidata.org/entity/Q17402280,"Avbelj, Jožica"
 http://www.wikidata.org/entity/Q2380540,"Avbelj, Viktor"
 http://www.wikidata.org/entity/Q12789028,"Avberšek, Franc"
 http://www.wikidata.org/entity/Q19932706,"Avellinus"
 http://www.wikidata.org/entity/Q12786800,"Avguštin, Cene"
 http://www.wikidata.org/entity/Q14317463,"Avsec, Dušan"
 http://www.wikidata.org/entity/Q5478218,"Avsec, Franc"
 http://www.wikidata.org/entity/Q18642956,"Avsenak Pogačnik, Meri"
 http://www.wikidata.org/entity/Q61198695,"Avsenak, Branko"
 http://www.wikidata.org/entity/Q18529611,"Avsenek, Ivan"
 http://www.wikidata.org/entity/Q683397,"Avsenik, Slavko"
 http://www.wikidata.org/entity/Q7539427,"Avsenik, Slavko"
 http://www.wikidata.org/entity/Q54949603,"Avčin, Andreja"
 http://www.wikidata.org/entity/Q5105304,"Avčin, France"
 http://www.wikidata.org/entity/Q54950407,"Avčin, Lilijana"
 http://www.wikidata.org/entity/Q61198984,"Avčin, Marij"
 http://www.wikidata.org/entity/Q12803925,"Avšič Županc, Tatjana"
 http://www.wikidata.org/entity/Q2346395,"Avšič, Jaka"
 http://www.wikidata.org/entity/Q21556284,"Aćimović Janežič, Ruža"
 http://www.wikidata.org/entity/Q12789228,"Ačko, France"
 http://www.wikidata.org/entity/Q1263976,"Ačkun, Ernest"
 http://www.wikidata.org/entity/Q12802715,"Ašič, Simon"
 http://www.wikidata.org/entity/Q561804,"Aškerc, Anton"
 http://www.wikidata.org/entity/Q588124,"Ažbe, Anton"
 http://www.wikidata.org/entity/Q12805082,"Ažbe, Urban"
 http://www.wikidata.org/entity/Q12784532,"Ažman, Andrej"
 http://www.wikidata.org/entity/Q61198437,"Ažman, Ciril"
 http://www.wikidata.org/entity/Q17402267,"Ažman, Fanica"
 http://www.wikidata.org/entity/Q12791977,"Ažman, Janez"
 http://www.wikidata.org/entity/Q17402285,"Ažnik, Marjan"
 http://www.wikidata.org/entity/Q21548012,"Baar, Adolf"
 http://www.wikidata.org/entity/Q12791436,"Baar, Irena"
 http://www.wikidata.org/entity/Q12788550,"Babačić, Esad"
 http://www.wikidata.org/entity/Q12786347,"Babič, Branko"
 http://www.wikidata.org/entity/Q12789024,"Babič, Franc"
 http://www.wikidata.org/entity/Q12792785,"Babič, Jože"
 http://www.wikidata.org/entity/Q13640005,"Babič, Jože"
 http://www.wikidata.org/entity/Q12792167,"Babnik, Janko"
 http://www.wikidata.org/entity/Q59904999,"Babnik, Jožef Anton"
 http://www.wikidata.org/entity/Q12796057,"Babnik, Matej"
 http://www.wikidata.org/entity/Q59904947,"Babuder, Maks"
 http://www.wikidata.org/entity/Q61198397,"Babudri, Francesco"
 http://www.wikidata.org/entity/Q18604356,"Bachó, Jožef"
 http://www.wikidata.org/entity/Q12796428,"Badjura, Metod"
 http://www.wikidata.org/entity/Q17402290,"Badjura, Milka"
 http://www.wikidata.org/entity/Q13361427,"Badjura, Rudolf"
 http://www.wikidata.org/entity/Q402520,"Badovinac, Ilija"
 http://www.wikidata.org/entity/Q12785430,"Baebler, Baltazar"
 http://www.wikidata.org/entity/Q270584,"Bagrjana, Elisaveta"
 http://www.wikidata.org/entity/Q61198360,"Baguer, Silverio"
 http://www.wikidata.org/entity/Q22686540,"Bahovec, Eva"
 http://www.wikidata.org/entity/Q19932730,"Bahovec, Fred"
 http://www.wikidata.org/entity/Q63122075,"Bahovec, Leo"
 http://www.wikidata.org/entity/Q12784538,"Bahun, Andrej"
 http://www.wikidata.org/entity/Q17402293,"Bajc, Alojz"
 http://www.wikidata.org/entity/Q17402296,"Bajc, Drago"
 http://www.wikidata.org/entity/Q17402295,"Bajc, Drago"
 http://www.wikidata.org/entity/Q328492,"Bajc, Maks"
 http://www.wikidata.org/entity/Q12795757,"Bajc, Marijan"
 http://www.wikidata.org/entity/Q17402300,"Bajc, Pavel"
 http://www.wikidata.org/entity/Q27902610,"Bajd, Barbara"
 http://www.wikidata.org/entity/Q16766051,"Bajd, Tadej"
 http://www.wikidata.org/entity/Q18529812,"Bajde, Ivan"
 http://www.wikidata.org/entity/Q17402301,"Bajde, Oton"
 http://www.wikidata.org/entity/Q12784742,"Bajec, Anton"
 http://www.wikidata.org/entity/Q12787333,"Bajec, Darinka"
 http://www.wikidata.org/entity/Q12789130,"Bajec, Franc Ksaver"
 http://www.wikidata.org/entity/Q12791500,"Bajec, Ivan"
 http://www.wikidata.org/entity/Q27523296,"Bajec, Ivo"
 http://www.wikidata.org/entity/Q17402302,"Bajec, Jože"
 http://www.wikidata.org/entity/Q17402304,"Bajec, Pavel"
 http://www.wikidata.org/entity/Q12798441,"Bajec, Pavla"
 http://www.wikidata.org/entity/Q17402305,"Bajec, Viktor"
 http://www.wikidata.org/entity/Q61198239,"Bajič, Stojan Albert"
 http://www.wikidata.org/entity/Q15658556,"Bajt, Aleksander"
 http://www.wikidata.org/entity/Q12784748,"Bajt, Anton"
 http://www.wikidata.org/entity/Q17402307,"Bajt, Drago"
 http://www.wikidata.org/entity/Q18529612,"Bajt, Ivan"
 http://www.wikidata.org/entity/Q20521847,"Bajt, Miro"
 http://www.wikidata.org/entity/Q434177,"Bajuk, Andrej"
 http://www.wikidata.org/entity/Q18627701,"Bajuk, Marko"
 http://www.wikidata.org/entity/Q59904915,"Bajzek, Jože"
 http://www.wikidata.org/entity/Q12791501,"Bajželj, Ivan"
 http://www.wikidata.org/entity/Q59904647,"Bajželj, Uroš"
 http://www.wikidata.org/entity/Q59904614,"Baković, Gregor"
 http://www.wikidata.org/entity/Q59904563,"Baković, Zorana"
 http://www.wikidata.org/entity/Q789050,"Bakoš, Mihal"
 http://www.wikidata.org/entity/Q12786153,"Balant, Boris"
 http://www.wikidata.org/entity/Q2345982,"Balantič, France"
 http://www.wikidata.org/entity/Q10853752,"Balatka, Antonín"
 http://www.wikidata.org/entity/Q12792664,"Balič, Josip"
 http://www.wikidata.org/entity/Q12791503,"Baloh, Ivan"
 http://www.wikidata.org/entity/Q597540,"Baloh, Miha"
 http://www.wikidata.org/entity/Q12798146,"Bamberg, Otomar"
 http://www.wikidata.org/entity/Q12796704,"Bambič, Milko"
 http://www.wikidata.org/entity/Q12957641,"Ban, Ivo"
 http://www.wikidata.org/entity/Q61198210,"Ban, Janko"
 http://www.wikidata.org/entity/Q59904368,"Ban, Uroš"
 http://www.wikidata.org/entity/Q59904235,"Banchig, Giorgio"
 http://www.wikidata.org/entity/Q12805739,"Bandelj, Vincenc"
 http://www.wikidata.org/entity/Q61198141,"Bandeu, Jakob"
 http://www.wikidata.org/entity/Q12791973,"Banič, Janez"
 http://www.wikidata.org/entity/Q48551118,"Banič, Jože"
 http://www.wikidata.org/entity/Q17402323,"Banič, Stanko"
 http://www.wikidata.org/entity/Q12784751,"Bankič, Anton"
 http://www.wikidata.org/entity/Q18507433,"Bankič, Anton"
 http://www.wikidata.org/entity/Q18529613,"Banko, Ivan"
 http://www.wikidata.org/entity/Q61198086,"Bannes, Janez"
 http://www.wikidata.org/entity/Q61198053,"Bano, Ivan"
 http://www.wikidata.org/entity/Q12803794,"Banovec, Svetozar"
 http://www.wikidata.org/entity/Q17402324,"Banovec, Tomaž"
 http://www.wikidata.org/entity/Q12804283,"Bantan, Tone"
 http://www.wikidata.org/entity/Q59904105,"Bar, Franci"
 http://www.wikidata.org/entity/Q7818582,"Barada, Tomaž"
 http://www.wikidata.org/entity/Q59903902,"Baraga, France"
 http://www.wikidata.org/entity/Q575492,"Baraga, Friderik Irenej"
 http://www.wikidata.org/entity/Q21548414,"Baraga, Srečko"
 http://www.wikidata.org/entity/Q59903753,"Baranja, Miško"
 http://www.wikidata.org/entity/Q61198027,"Barazzutti, Alfonso"
 http://www.wikidata.org/entity/Q21548105,"Barbalić, Fran"
 http://www.wikidata.org/entity/Q231334,"Barbara Celjska"
 http://www.wikidata.org/entity/Q21596720,"Barbarino, Gilberto"
 http://www.wikidata.org/entity/Q17402326,"Barbarič, Štefan"
 http://www.wikidata.org/entity/Q3749599,"Barbaro, Francesco"
 http://www.wikidata.org/entity/Q28922980,"Barbič - Dujčeva, Elza"
 http://www.wikidata.org/entity/Q59903636,"Barbič, Ana"
 http://www.wikidata.org/entity/Q61197956,"Barbič, Mihael"
 http://www.wikidata.org/entity/Q18196408,"Barbo - Waxenstein, Josip Emanuel"
 http://www.wikidata.org/entity/Q12796144,"Barbo, Matjaž"
 http://www.wikidata.org/entity/Q61197877,"Baresi, Silvano"
 http://www.wikidata.org/entity/Q61189415,"Baretto, Maks"
 http://www.wikidata.org/entity/Q59903534,"Barišić, Zdravko"
 http://www.wikidata.org/entity/Q59903569,"Barišič, Ivo"
 http://www.wikidata.org/entity/Q790518,"Barla, Mihal"
 http://www.wikidata.org/entity/Q59903501,"Barle, Ivan"
 http://www.wikidata.org/entity/Q12081055,"Barle, Janko"
 http://www.wikidata.org/entity/Q59903457,"Barle, Konrad"
 http://www.wikidata.org/entity/Q18529335,"Barlè, Fran"
 http://www.wikidata.org/entity/Q59903137,"Baronik, Tanja"
 http://www.wikidata.org/entity/Q61189375,"Baronio in Rosenthall, Friedrich"
 http://www.wikidata.org/entity/Q17349268,"Bartel, Anton"
 http://www.wikidata.org/entity/Q1839935,"Bartelj, Ludvik"
 http://www.wikidata.org/entity/Q61189294,"Bartholomaeus Justinopolitanus"
 http://www.wikidata.org/entity/Q12792081,"Bartholotti, Janez Nepomuk"
 http://www.wikidata.org/entity/Q12784237,"Bartl, Alenka"
 http://www.wikidata.org/entity/Q18529336,"Bartl, Fran"
 http://www.wikidata.org/entity/Q18529615,"Bartl, Ivan"
 http://www.wikidata.org/entity/Q18529614,"Bartl, Ivan"
 http://www.wikidata.org/entity/Q19361138,"Bartol, Baltazar"
 http://www.wikidata.org/entity/Q351683,"Bartol, Vladimir"
 http://www.wikidata.org/entity/Q1522556,"Bartoli, Gianni"
 http://www.wikidata.org/entity/Q535616,"Bartolomasi, Angelo"
 http://www.wikidata.org/entity/Q48604980,"Barši, Jože"
 http://www.wikidata.org/entity/Q59902998,"Basailović, Miodrag"
 http://www.wikidata.org/entity/Q18604252,"Basaj, Jože"
 http://www.wikidata.org/entity/Q12792392,"Basar, Jernej"
 http://www.wikidata.org/entity/Q59902882,"Basle, Janez"
 http://www.wikidata.org/entity/Q17402333,"Bassin, Aleksander"
 http://www.wikidata.org/entity/Q8250970,"Bassin, Borut"
 http://www.wikidata.org/entity/Q61189192,"Bassin, Rajner"
 http://www.wikidata.org/entity/Q12636463,"Bastian, Mate"
 http://www.wikidata.org/entity/Q18604168,"Bastiančič, Jernej"
 http://www.wikidata.org/entity/Q61188899,"Bastjančič, Matija"
 http://www.wikidata.org/entity/Q12789031,"Batagelj, Franc"
 http://www.wikidata.org/entity/Q59902784,"Batagelj, Marjan"
 http://www.wikidata.org/entity/Q12804281,"Batagelj, Tone"
 http://www.wikidata.org/entity/Q7938266,"Batagelj, Vladimir"
 http://www.wikidata.org/entity/Q17402340,"Batis, Janez"
 http://www.wikidata.org/entity/Q59651654,"Batista, Milan"
 http://www.wikidata.org/entity/Q12784536,"Batič, Andrej"
 http://www.wikidata.org/entity/Q18507365,"Batič, Andrej"
 http://www.wikidata.org/entity/Q12784675,"Batič, Angel"
 http://www.wikidata.org/entity/Q48301874,"Batič, Franc"
 http://www.wikidata.org/entity/Q18604185,"Batič, Josip"
 http://www.wikidata.org/entity/Q12795194,"Batič, Lovrenc"
 http://www.wikidata.org/entity/Q17402341,"Batič, Milena"
 http://www.wikidata.org/entity/Q471587,"Batič, Stojan"
 http://www.wikidata.org/entity/Q61188799,"Batjel, France"
 http://www.wikidata.org/entity/Q47237928,"Battelino Baranovič, Balbina"
 http://www.wikidata.org/entity/Q88385025,"Battelino, Darinka"
 http://www.wikidata.org/entity/Q59902723,"Battelino, Miloš"
 http://www.wikidata.org/entity/Q12788580,"Battelli, Ettore"
 http://www.wikidata.org/entity/Q2044214,"Battelli, Roberto"
 http://www.wikidata.org/entity/Q956853,"Battisti, Alfredo"
 http://www.wikidata.org/entity/Q335092,"Baudouin, Jan Ignacy Niecisław"
 http://www.wikidata.org/entity/Q580185,"Bauer, Klemen"
 http://www.wikidata.org/entity/Q59820285,"Bauer, Marijan"
 http://www.wikidata.org/entity/Q61188612,"Baukart, Jan"
 http://www.wikidata.org/entity/Q65888,"Baumbach, Rudolf"
 http://www.wikidata.org/entity/Q59902593,"Baumgartner, Egon"
 http://www.wikidata.org/entity/Q21548088,"Baumgartner, Emilija"
 http://www.wikidata.org/entity/Q86329,"Baumkircher, Andrej"
 http://www.wikidata.org/entity/Q12792788,"Bavcon, Jože"
 http://www.wikidata.org/entity/Q12795013,"Bavcon, Ljubo"
 http://www.wikidata.org/entity/Q61188739,"Bavdaž, Ivan"
 http://www.wikidata.org/entity/Q21548293,"Bavdaž, Jurij"
 http://www.wikidata.org/entity/Q61188479,"Bavdaž, Kristjan Jožef"
 http://www.wikidata.org/entity/Q61188396,"Bavdaž, Vladislav"
 http://www.wikidata.org/entity/Q5317703,"Bavdek, Dušan"
 http://www.wikidata.org/entity/Q17402347,"Bavdek, Srdan Valentin"
 http://www.wikidata.org/entity/Q48530370,"Bavec, Miloš"
 http://www.wikidata.org/entity/Q1382337,"Bavčar, Evgen"
 http://www.wikidata.org/entity/Q266026,"Bavčar, Igor"
 http://www.wikidata.org/entity/Q12784758,"Bavčer, Anton"
 http://www.wikidata.org/entity/Q21556286,"Bavčer, Jani"
