oeblbio,oeblid
http://www.wikidata.org/entity/Q78830,P/Prochaska_Georg_1749_1820
http://www.wikidata.org/entity/Q78938,N/Neruda_Wilma_1839_1911
http://www.wikidata.org/entity/Q78802,T/Thugut_Franz-Maria_1736_1818
http://www.wikidata.org/entity/Q79040,L/Lenz_Oskar_1848_1925
http://www.wikidata.org/entity/Q79128,M/Martinek_Robert_1889_1944
http://www.wikidata.org/entity/Q79035,S/Schumann-Heink_Ernestine_1861_1936
http://www.wikidata.org/entity/Q79153,P/Postl_Karl_1793_1864
http://www.wikidata.org/entity/Q79151,S/Spann_Othmar_1878_1950
http://www.wikidata.org/entity/Q79184,W/Wawra-Fernsee_Heinrich-Blasius_1831_1887
http://www.wikidata.org/entity/Q84177,M/Menger_Karl_1840_1921
http://www.wikidata.org/entity/Q84287,W/Wagner_Otto-Koloman_1841_1918
http://www.wikidata.org/entity/Q84530,R/Rumpler_Edmund_1872_1940
http://www.wikidata.org/entity/Q84516,S/Stadion-Warthausen_Franz_1806_1853
http://www.wikidata.org/entity/Q84894,W/Wildgans_Anton_1881_1932
http://www.wikidata.org/entity/Q85054,S/Starhemberg_Franziska_1875_1943
http://www.wikidata.org/entity/Q85376,O/Orsini-Rosenberg_Franz_1761_1832
http://www.wikidata.org/entity/Q85815,K/Kurrein_Adolf_1846_1919
http://www.wikidata.org/entity/Q85766,S/Siebenrock_Friedrich_1853_1925
http://www.wikidata.org/entity/Q86031,S/Schwartz_Anton-Maria_1852_1929
http://www.wikidata.org/entity/Q86333,M/Milder-Hauptmann_Anna-Pauline_1785_1838
http://www.wikidata.org/entity/Q86419,K/Kuranda_Ignaz_1811_1884
http://www.wikidata.org/entity/Q86460,M/Malfatti-Monteregio_Johann_1775_1859
http://www.wikidata.org/entity/Q86629,O/Oppenheim_Samuel_1857_1928
http://www.wikidata.org/entity/Q87022,K/Kuebeck-Kuebau_Karl-Friedrich_1780_1855
http://www.wikidata.org/entity/Q86958,W/Werner_Karl_1821_1888
http://www.wikidata.org/entity/Q87045,S/Stephan_Martin_1777_1846
http://www.wikidata.org/entity/Q87116,R/Renard_Marie_1863_1939
http://www.wikidata.org/entity/Q87347,S/Seiller_Johann-Kaspar_1802_1888
http://www.wikidata.org/entity/Q87553,S_43/Suttner_Arthur-Gundaccar_1850_1902
http://www.wikidata.org/entity/Q87788,K/Kriehuber_Friedrich_1834_1871
http://www.wikidata.org/entity/Q87526,W/Wlassak_Rudolf_1865_1930
http://www.wikidata.org/entity/Q87769,S/Silva-Tarouca_Ernst-Emanuel_1860_1936
http://www.wikidata.org/entity/Q87937,N/Niessl-Mayendorf_Gustav_1839_1919
http://www.wikidata.org/entity/Q88197,M/Much_Rudolf_1862_1936
http://www.wikidata.org/entity/Q88262,S/Sattler_Hubert_1844_1928
http://www.wikidata.org/entity/Q88286,S/Sacher_Anna_1859_1930
http://www.wikidata.org/entity/Q88280,W/Weninger_Franz-Xaver_1805_1888
http://www.wikidata.org/entity/Q88418,S_43/Sussin_Mathilde_1876_1943
http://www.wikidata.org/entity/Q88418,S/Sussin_Mathilde_1876_1943
http://www.wikidata.org/entity/Q88529,P/Paal_Karl_1860_1935
http://www.wikidata.org/entity/Q88725,L/Loos_Lina_1884_1950
http://www.wikidata.org/entity/Q88523,T/Thun-Hohenstein-Salm-Reifferscheid_Oswald_1849_1913
http://www.wikidata.org/entity/Q88953,M/Mataja_Emilie_1855_1938
http://www.wikidata.org/entity/Q88951,R/Rzach_Alois_1850_1935
http://www.wikidata.org/entity/Q89237,R/Reuss_August-Emanuel_1811_1873
http://www.wikidata.org/entity/Q89285,S/Steiner_Maximilian_1830_1880
http://www.wikidata.org/entity/Q89463,S/Schalk_Josef_1857_1900
http://www.wikidata.org/entity/Q89540,S/Schulhoff_Erwin_1894_1942
http://www.wikidata.org/entity/Q89883,R/Richard_Frieda_1873_1946
http://www.wikidata.org/entity/Q90021,S/Spaeth_Josef_1823_1896
http://www.wikidata.org/entity/Q90090,S/Schenkl_Karl_1827_1900
http://www.wikidata.org/entity/Q90132,T/Tersztyanszky-Nadas_Karl_1854_1921
http://www.wikidata.org/entity/Q90564,S/Sablatnig_Josef_1886_1945
http://www.wikidata.org/entity/Q93931,N/Novak-Arienti_Guido_1859_1928
http://www.wikidata.org/entity/Q94361,P/Pick_Otto_1887_1940
http://www.wikidata.org/entity/Q94538,L/Laemel_Simon_1766_1845
http://www.wikidata.org/entity/Q94346,S/Skraup_Zdenko-Hans_1850_1910
http://www.wikidata.org/entity/Q94623,T/Turecek_Emilie_1848_1889
http://www.wikidata.org/entity/Q96225,M/Maier_Siegmund_1842_1910
http://www.wikidata.org/entity/Q96678,T/Teutsch_Georg-Daniel_1817_1893
http://www.wikidata.org/entity/Q98781,G/Galura_Bernhard_1764_1856
http://www.wikidata.org/entity/Q99472,F/Frind_Anton-Ludwig_1823_1881
http://www.wikidata.org/entity/Q99493,G/Gebert_Anton_1885_1942
http://www.wikidata.org/entity/Q106121,H/Haffner_Karl_1804_1876
http://www.wikidata.org/entity/Q110458,S/Schoebel_Emmanuel-Johann_1824_1909
http://www.wikidata.org/entity/Q112156,C/Claus_Karl-Friedrich_1835_1899
http://www.wikidata.org/entity/Q112316,A/Appel_Christian_1785_1854
http://www.wikidata.org/entity/Q111971,R/Rainer-Ferdinand__1827_1913
http://www.wikidata.org/entity/Q112081,W/Wilhelm_Franz-Joseph-Karl_1895_1948
http://www.wikidata.org/entity/Q112191,S/Schott_Heinrich-Wilhelm_1794_1865
http://www.wikidata.org/entity/Q112560,E/Engelmann_Eduard_1864_1944
http://www.wikidata.org/entity/Q113064,C/Collmann_Alfred_1851_1937
http://www.wikidata.org/entity/Q113372,B/Bianchi_Vinzenz-Ferrerius-Friedrich_1768_1855
http://www.wikidata.org/entity/Q113086,R/Reithmann_Christian_1818_1909
http://www.wikidata.org/entity/Q113809,S/Strzygowski_Josef_1862_1941
http://www.wikidata.org/entity/Q113857,P/Pflanzl_Otto_1865_1943
http://www.wikidata.org/entity/Q114049,J/Janka-Bulcs_Viktor_1837_1890
http://www.wikidata.org/entity/Q114370,H/Haller_Franz_1796_1875
http://www.wikidata.org/entity/Q114408,M/Mussafia_Adolf_1835_1905
http://www.wikidata.org/entity/Q114316,P/Przibram_Hans-Leo_1874_1944
http://www.wikidata.org/entity/Q114400,R/Rheden_Josef_1873_1946
http://www.wikidata.org/entity/Q114707,M/Mataja_Viktor_1857_1934
http://www.wikidata.org/entity/Q115072,M/Meissner_Alfred_1871_1950
http://www.wikidata.org/entity/Q122251,H/Hilgenreiner_Karl_1867_1948
http://www.wikidata.org/entity/Q123956,E/Elze_Ludwig-Theodor_1823_1900
http://www.wikidata.org/entity/Q124503,F/Feine_Paul_1859_1933
http://www.wikidata.org/entity/Q126505,D/David_Martin-Alois_1757_1836
http://www.wikidata.org/entity/Q129356,E/Ebert_Karl-Egon_1801_1882
http://www.wikidata.org/entity/Q132721,R/Ramelmayr_Adam_1807_1887
http://www.wikidata.org/entity/Q138832,C/Cantu_Cesare_1804_1895
http://www.wikidata.org/entity/Q153420,K/Ketrzynski_Wojciech_1838_1919
http://www.wikidata.org/entity/Q159963,T/Theer_Otakar_1880_1917
http://www.wikidata.org/entity/Q163993,S/Slavik_Josef_1806_1833
http://www.wikidata.org/entity/Q165756,H/Hollosy_Simon_1857_1918
http://www.wikidata.org/entity/Q168542,S/Stifter_Adalbert_1805_1868
http://www.wikidata.org/entity/Q176445,K/Klar_Alois_1763_1833
http://www.wikidata.org/entity/Q178230,R/Rufinatscha_Johann_1812_1893
http://www.wikidata.org/entity/Q194856,W/Weber_Julius_1880_1942
http://www.wikidata.org/entity/Q202106,T/Tommasini_Muzio-Giuseppe_1794_1879
http://www.wikidata.org/entity/Q206133,S/Schuchardt_Hugo_1842_1927
http://www.wikidata.org/entity/Q210285,S/Schwarz_David_1850_1897
http://www.wikidata.org/entity/Q213765,F/Fessler_Ignaz-Aurel_1756_1839
